policy,epoch,rows,runs,merges,total_ms,host_build_ms,upload_ms,uploaded_bytes,merge_host_read_write_bytes,tracked_peak_device_bytes,old_epoch_logical_bytes,cuda_observed_used_bytes,host_maxrss_kib,old_epoch_complete_checks,post_release_device_bytes,process
size_tiered,6,1082990,4,1,0.106582,0.0086960000000000006,0.082021000000000011,64512,82740,46578182,45462438,652083200,267400,2,46536812,1
compact,0,996854,1,0,8.7360009999999999,0,8.7352799999999995,41867868,0,42919100,0,645791744,267400,0,42919100,1
compact,1,997438,1,1,32.793292999999998,25.675350000000002,7.06935,41916924,83784792,84836024,41867868,689831936,267400,2,42943628,1
compact,2,1078191,1,1,37.797176999999998,28.570565999999999,9.0545559999999998,48675648,90568044,91619276,41892396,696123392,267400,2,46335254,1
compact,3,1078393,1,1,34.591133999999997,27.053353000000001,7.4928119999999998,45300990,90585012,91636244,45284022,702414848,272992,2,46343738,1
compact,4,1082005,1,1,32.670203999999998,24.438611000000002,8.1847659999999998,45595914,90888420,91939652,45292506,702414848,273228,2,46495442,1
compact,5,1082439,1,1,30.879408999999999,23.08043,7.7592270000000001,45480666,90924876,91976108,45444210,702414848,273344,2,46513670,1
compact,6,1082990,1,1,33.902177000000002,23.467473999999999,10.394742000000001,45508722,90971160,92022392,45462438,702414848,273356,2,46536812,1
all_delta,0,996854,1,0,17.753150000000002,0,17.751964999999998,41867868,0,42919100,0,645791744,273356,0,42919100,1
all_delta,1,997438,2,0,0.074347999999999997,0,0.073126999999999998,24528,0,42943628,41867868,645791744,273356,2,42943628,1
all_delta,2,1078191,3,0,1.68367,0,1.6825330000000001,3391626,0,46335254,41892396,649986048,273356,2,46335254,1
all_delta,3,1078393,4,0,0.043874999999999997,0,0.043116000000000002,8484,0,46343738,45284022,649986048,273356,2,46343738,1
all_delta,4,1082005,5,0,0.10141500000000001,0,0.100829,151704,0,46495442,45292506,649986048,273356,2,46495442,1
all_delta,5,1082439,6,0,0.040912999999999998,0,0.040479000000000001,18228,0,46513670,45444210,649986048,273356,2,46513670,1
all_delta,6,1082990,7,0,0.04768,0,0.047050000000000002,23142,0,46536812,45462438,649986048,273356,2,46536812,1
size_tiered,0,996854,1,0,9.8057599999999994,0,9.8041830000000001,41867868,0,42919100,0,645791744,181280,0,42919100,2
size_tiered,1,997438,2,0,0.043152000000000003,0,0.041886,24528,0,42943628,41867868,645791744,181280,2,42943628,2
size_tiered,2,1078191,2,1,2.649073,0.85929,1.621375,6807780,6832308,49751408,41892396,652083200,181280,2,46335254,2
size_tiered,3,1078393,3,0,0.045337000000000002,0,0.044401000000000003,8484,0,46343738,45284022,652083200,181280,2,46343738,2
size_tiered,4,1082005,3,1,0.179145,0.030528,0.130581,311892,320376,46655630,45292506,652083200,181280,2,46495442,2
size_tiered,5,1082439,4,0,0.039737000000000001,0,0.039170999999999997,18228,0,46513670,45444210,652083200,181280,2,46513670,2
size_tiered,6,1082990,4,1,0.167763,0.017349,0.131717,64512,82740,46578182,45462438,652083200,181280,2,46536812,2
compact,0,996854,1,0,16.939727999999999,0,16.938775,41867868,0,42919100,0,645791744,181280,0,42919100,2
compact,1,997438,1,1,37.638224000000001,27.456102000000001,10.133878000000001,41916924,83784792,84836024,41867868,689831936,220192,2,42943628,2
compact,2,1078191,1,1,39.149849000000003,29.161759,9.7970759999999988,48675648,90568044,91619276,41892396,696123392,262176,2,46335254,2
compact,3,1078393,1,1,39.196474000000002,26.601037000000002,12.550345,45300990,90585012,91636244,45284022,702414848,268040,2,46343738,2
compact,4,1082005,1,1,34.999160000000003,26.690431,8.2617620000000009,45595914,90888420,91939652,45292506,702414848,268104,2,46495442,2
compact,5,1082439,1,1,34.806657000000001,26.517412,8.236656,45480666,90924876,91976108,45444210,702414848,268480,2,46513670,2
compact,6,1082990,1,1,34.490250000000003,26.360434000000001,8.0828389999999999,45508722,90971160,92022392,45462438,702414848,268492,2,46536812,2
all_delta,0,996854,1,0,9.1903790000000001,0,9.1891680000000004,41867868,0,42919100,0,645791744,268492,0,42919100,2
all_delta,1,997438,2,0,0.048723000000000002,0,0.047470999999999999,24528,0,42943628,41867868,645791744,268492,2,42943628,2
all_delta,2,1078191,3,0,0.93037000000000003,0,0.92871999999999999,3391626,0,46335254,41892396,649986048,268492,2,46335254,2
all_delta,3,1078393,4,0,0.042605999999999998,0,0.041391999999999998,8484,0,46343738,45284022,649986048,268492,2,46343738,2
all_delta,4,1082005,5,0,0.084214999999999998,0,0.083274000000000001,151704,0,46495442,45292506,649986048,268492,2,46495442,2
all_delta,5,1082439,6,0,0.046039999999999998,0,0.044992999999999998,18228,0,46513670,45444210,649986048,268492,2,46513670,2
all_delta,6,1082990,7,0,0.044767000000000001,0,0.043609000000000002,23142,0,46536812,45462438,649986048,268492,2,46536812,2
periodic2,0,996854,1,0,8.7315269999999998,0,8.7305089999999996,41867868,0,42919100,0,645791744,268492,0,42919100,2
periodic2,1,997438,2,0,0.11328199999999999,0,0.11183999999999999,24528,0,42943628,41867868,645791744,268492,2,42943628,2
periodic2,2,1078191,1,1,47.600949,36.993468999999997,10.378074,48675648,90568044,91619276,41892396,696123392,268492,2,46335254,2
periodic2,3,1078393,2,0,0.055695000000000001,0,0.053990000000000003,8484,0,46343738,45284022,652083200,268492,2,46343738,2
periodic2,4,1082005,1,1,37.468001000000001,29.382982999999999,8.0366599999999995,45595914,90888420,91939652,45292506,702414848,268492,2,46495442,2
periodic2,5,1082439,2,0,0.049513000000000001,0,0.048647999999999997,18228,0,46513670,45444210,652083200,268492,2,46513670,2
periodic2,6,1082990,1,1,37.055433000000001,28.760821,8.2554589999999983,45508722,90971160,92022392,45462438,702414848,274672,2,46536812,2
compact,0,996854,1,0,9.8105290000000007,0,9.8086830000000003,41867868,0,42919100,0,645791744,181096,0,42919100,3
compact,1,997438,1,1,41.862699999999997,33.326157000000002,8.4862300000000008,41916924,83784792,84836024,41867868,689831936,220008,2,42943628,3
compact,2,1078191,1,1,47.089942000000001,35.628768000000001,10.262191,48675648,90568044,91619276,41892396,696123392,261992,2,46335254,3
compact,3,1078393,1,1,41.916519999999998,32.866520000000001,9.0080229999999997,45300990,90585012,91636244,45284022,702414848,267096,2,46343738,3
compact,4,1082005,1,1,41.848320999999999,32.615448999999998,9.1855700000000002,45595914,90888420,91939652,45292506,702414848,267920,2,46495442,3
compact,5,1082439,1,1,53.086050999999998,43.811982,9.2330449999999988,45480666,90924876,91976108,45444210,702414848,268296,2,46513670,3
compact,6,1082990,1,1,38.589739999999999,29.49269,9.0592790000000001,45508722,90971160,92022392,45462438,702414848,268308,2,46536812,3
all_delta,0,996854,1,0,18.660366,0,18.6585,41867868,0,42919100,0,645791744,268308,0,42919100,3
