policy,epoch,threshold,query,service_ms,kernel_ms,hits,overflow,cpu_complete_match,process
all_delta,0,70,0,0.19039300000000001,0.11673600226640701,1,0,1,0
all_delta,0,70,1,0.051138999999999997,0.012384000234305859,1,0,1,0
all_delta,0,70,2,0.045166999999999999,0.010208000428974628,1,0,1,0
all_delta,0,70,3,0.043735999999999997,0.010048000141978264,1,0,1,0
all_delta,0,70,4,0.044615000000000002,0.010239999741315842,2,0,1,0
all_delta,0,70,5,0.046545999999999997,0.012160000391304493,1,0,1,0
all_delta,0,70,6,0.048716000000000002,0.011487999930977821,2,0,1,0
all_delta,0,70,7,0.046734999999999999,0.012543999589979649,7,0,1,0
all_delta,0,80,0,0.040669999999999998,0.0072639998979866505,1,0,1,0
all_delta,0,80,1,0.043719000000000001,0.0090560000389814377,1,0,1,0
all_delta,0,80,2,0.036211,0.0082879997789859772,1,0,1,0
all_delta,0,80,3,0.042437999999999997,0.013567999936640263,1,0,1,0
all_delta,0,80,4,0.042337,0.0094400001689791679,2,0,1,0
all_delta,0,80,5,0.043290000000000002,0.010367999784648418,1,0,1,0
all_delta,0,80,6,0.044318999999999997,0.0097599998116493225,1,0,1,0
all_delta,0,80,7,0.041908000000000001,0.0094079999253153801,1,0,1,0
all_delta,1,70,0,0.042242000000000002,0.007519999984651804,1,0,1,0
all_delta,1,70,1,0.045201999999999999,0.010143999941647053,1,0,1,0
all_delta,1,70,2,0.045131999999999999,0.010015999898314476,1,0,1,0
all_delta,1,70,3,0.044283000000000003,0.0090560000389814377,1,0,1,0
all_delta,1,70,4,0.046996000000000003,0.011711999773979187,2,0,1,0
all_delta,1,70,5,0.051067000000000001,0.012256000190973282,1,0,1,0
all_delta,1,70,6,0.041281999999999999,0.011296000331640244,2,0,1,0
all_delta,1,70,7,0.047246999999999997,0.01142400037497282,7,0,1,0
all_delta,1,80,0,0.037497000000000003,0.0063040000386536121,1,0,1,0
all_delta,1,80,1,0.041751000000000003,0.0070719998329877853,1,0,1,0
all_delta,1,80,2,0.040356000000000003,0.0092479996383190155,1,0,1,0
all_delta,1,80,3,0.040709000000000002,0.0078720003366470337,1,0,1,0
all_delta,1,80,4,0.041283,0.0091840000823140144,2,0,1,0
all_delta,1,80,5,0.041014000000000002,0.0099839996546506882,1,0,1,0
all_delta,1,80,6,0.042703999999999999,0.010719999670982361,1,0,1,0
all_delta,1,80,7,0.040161000000000002,0.0086399996653199196,1,0,1,0
all_delta,2,70,0,0.045114000000000001,0.0084480000659823418,1,0,1,0
all_delta,2,70,1,0.042597999999999997,0.009503999724984169,1,0,1,0
all_delta,2,70,2,0.040676999999999998,0.0089600002393126488,1,0,1,0
all_delta,2,70,3,0.041183999999999998,0.0092479996383190155,1,0,1,0
all_delta,2,70,4,0.043043999999999999,0.01142400037497282,2,0,1,0
all_delta,2,70,5,0.037735999999999999,0.011264000087976456,1,0,1,0
all_delta,2,70,6,0.042581000000000001,0.010847999714314938,2,0,1,0
all_delta,2,70,7,0.052282000000000002,0.013055999763309956,7,0,1,0
all_delta,2,80,0,0.039656999999999998,0.0073919999413192272,1,0,1,0
all_delta,2,80,1,0.038314000000000001,0.0068160002119839191,1,0,1,0
all_delta,2,80,2,0.041451000000000002,0.0097599998116493225,1,0,1,0
all_delta,2,80,3,0.039917000000000001,0.0084800003096461296,1,0,1,0
all_delta,2,80,4,0.043177,0.0087360003963112831,2,0,1,0
all_delta,2,80,5,0.045116000000000003,0.0099200000986456871,1,0,1,0
all_delta,2,80,6,0.041169999999999998,0.0087999999523162842,1,0,1,0
all_delta,2,80,7,0.040663999999999999,0.0090880002826452255,1,0,1,0
