mode,policy,rotation,cap_mib,interval_ms,window_ms,start_ms,drain_finished_ms,scheduled_batches,completed_batches,dropped_batches,coverage_pass,cpu_complete_match,window_completed_batches,completion_fraction,window_queries_per_s,p99_response_ms,p50_response_ms,max_response_ms,p99_service_ms,mean_service_ms,p99_queue_ms,max_waiting_batches,max_maintenance_backlog,max_publication_lag_ms,max_maintenance_queue_ms,uploaded_bytes,merged_host_rw_bytes,merges,deferred,end_runs,peak_vram_bytes,host_maxrss_kib,case_name,technical_pass
static_final,all_delta,0,2048,0.54,8000,1183.008855,9182.973837,14815,14815,0,True,True,14815,1.0,14815.0,0.991625,0.447517,6.605497,0.933811,0.4127257403307419,0.451927,11,0,0,0,0,0,0,0,1,2082340864,1044444,test_r0_cap2048_static_final,True
growth,tier4,0,2048,0.54,8000,943.267867,8943.234775,14815,14815,0,True,True,14815,1.0,14815.0,0.994238,0.443719,7.009101,0.936898,0.3973007646304418,0.454808,11,1,43.81182799999988,0.0748600000002,70686882,72652860,4,0,3,2082340864,835708,test_r0_cap2048_tier4_growth,True
shadow,tier4,0,2048,0.54,8000,915.782909,8915.721085,14815,14815,0,True,True,14815,1.0,14815.0,0.87102,0.37739,7.375163,0.814443,0.3253139841376918,0.331533,12,1,43.351830000000064,0.086491,70686882,72652860,4,0,3,2082340864,834764,test_r0_cap2048_tier4_shadow,True
growth,all_delta,1,1280,0.54,8000,905.08572,8905.062807,14815,14815,0,True,True,14815,1.0,14815.0,0.992510999999,0.446663,6.145446,0.935742000001,0.39794673911575884,0.453058999999,10,1,10.856968000000052,0.133993,34360452,0,0,0,7,1277034496,834712,test_r1_cap1280_all_delta_growth,True
shadow,all_delta,1,1280,0.54,8000,913.470997,8913.399173,14815,14815,0,True,True,14815,1.0,14815.0,0.870385,0.37349,6.183434,0.81327,0.3217362868039169,0.330952,10,1,10.4729769999999,0.131269,34360452,0,0,0,7,1277034496,835672,test_r1_cap1280_all_delta_shadow,True
growth,compact,1,1280,0.54,8000,913.452585,8913.437164,14815,14815,0,True,True,14815,1.0,14815.0,0.998883,0.450218,7.098201,0.937516,0.4009894299021276,0.459293,12,1,11.596817999999985,0.158516,34360452,0,0,6,7,1277034496,834688,test_r1_cap1280_compact_growth,True
shadow,compact,1,1280,0.54,8000,903.802881,8903.728807,14815,14815,0,True,True,14815,1.0,14815.0,0.870782,0.377591,7.266754,0.813929,0.3252987698278757,0.331454,12,1,11.242041999999856,0.128444,34360452,0,0,6,7,1277034496,835700,test_r1_cap1280_compact_shadow,True
growth,periodic6,1,1280,0.54,8000,897.87037,8897.848697,14815,14815,0,True,True,14815,1.0,14815.0,0.994882,0.446428,6.589035,0.936862,0.39892483665203876,0.455479,11,1,10.881586999999854,0.119414999999,34360452,0,0,1,7,1277034496,835708,test_r1_cap1280_periodic6_growth,True
shadow,periodic6,1,1280,0.54,8000,913.747956,8913.67794,14815,14815,0,True,True,14815,1.0,14815.0,0.86989,0.375953999999,6.339061,0.813257,0.3239042895713836,0.330612,10,1,11.592016000000058,0.12662,34360452,0,0,1,7,1277034496,834768,test_r1_cap1280_periodic6_shadow,True
static_base,all_delta,1,1280,0.54,8000,823.806411,8823.746313,14815,14815,0,True,True,14815,1.0,14815.0,0.866557,0.375626999999,5.947115,0.810679,0.3230968753965624,0.327025,10,0,0,0,0,0,0,0,1,1277034496,835656,test_r1_cap1280_static_base,True
static_final,all_delta,1,1280,0.54,8000,1195.00255,9194.966452,14815,14815,0,True,True,14815,1.0,14815.0,0.992579999999,0.44984,6.095749,0.934674,0.4134887936550765,0.452950999999,10,0,0,0,0,0,0,0,1,1277034496,1043376,test_r1_cap1280_static_final,True
