rotation,mode,policy,batch,epoch,status,rows,runs,merges,deferred,begin_ms,ready_ms,published_ms,writer_done_ms,host_build_ms,metadata_ms,staging_ms,h2d_ms,uploaded_bytes,merge_host_rw_bytes,shared_bytes,current_only_bytes,retired_only_bytes,reader_only_at_publish_bytes,unreferenced_at_publish_bytes,live_at_publish_bytes,last_reader_device_done_ms,old_epoch_owner_released_ms,exclusive_actual_reclaim_ms,lifecycle_ms,arrival_ms,maintenance_queue_ms,other_held_at_publish_bytes,cap_mib
0,sequential,size_tiered,1,5,published,10274223,4,0,0,1561.215777,1561.293644,1561.294574,1561.294956,0,0.00870599999985,0.0181380000001,0.0320669999999,177660,0,0,475140352,0,0,0,542452480,1561.196547,1561.301954,1561.294956,0.0861770000001,1561.215777,0,0,1280
0,sequential,size_tiered,1,6,published,10279473,4,1,0,1588.104273,1588.503792,1588.504978,1588.505276,0.214018,0.0316230000001,0.0437359999999,0.0894490000003,618660,796320,0,475361024,177664,0,177664,542850816,1588.090046,1588.512749,1588.512608,0.408476,1588.104273,0,177664,1280
0,sequential,compact,1,0,published,9461367,1,0,0,1617.360486,1700.591515,1700.592263,1700.592635,0,25.887925,44.490886,12.818877,397377414,0,0,441000192,0,0,0,508312320,0,1700.592635,1700.592635,83.232149,1617.360486,0,0,1280
0,sequential,compact,1,1,published_merge_deferred,9466817,2,0,1,1724.190235,1724.270277,1724.270779,1724.271136,0,0.0112799999999,0.0165999999999,0.0402240000001,228900,0,0,441229312,0,0,0,508541440,1724.178561,1724.277488,1724.271136,0.0872529999999,1724.190235,0,0,1280
0,sequential,compact,1,2,published_merge_deferred,10232664,3,0,1,1747.957626,1753.994991,1753.996237,1753.99681,0,2.085399,2.878821,1.050205,32165574,0,0,473394944,0,0,0,540707072,1747.945416,1754.003365,1753.99681,6.045739,1747.957626,0,0,1280
0,sequential,compact,1,3,published_merge_deferred,10234444,4,0,1,1780.724984,1780.778317,1780.779316,1780.779678,0,0.00298799999996,0.00517300000024,0.0337760000002,74760,0,0,473469952,0,0,0,540782080,1780.710095,1780.786334,1780.779678,0.0613499999999,1780.724984,0,0,1280
0,sequential,compact,1,4,published_merge_deferred,10269993,5,0,1,1807.483108,1807.812323,1807.813928,1807.814362,0,0.0915030000001,0.130974,0.0899109999998,1493058,0,0,474963200,0,0,0,542275328,1807.472073,1807.820977,1807.814362,0.337869,1807.483108,0,0,1280
0,sequential,compact,1,5,published_merge_deferred,10274223,6,0,1,1834.726571,1834.801298,1834.802503,1834.802959,0,0.009051,0.01729,0.037822,177660,0,0,475140864,0,0,0,542452992,1834.712584,1834.809621,1834.802959,0.0830500000002,1834.726571,0,0,1280
0,sequential,compact,1,6,published_merge_deferred,10279473,7,0,1,1861.800346,1861.880008,1861.88109,1861.881446,0,0.0108109999999,0.0249239999998,0.0338940000004,220500,0,0,475361536,0,0,0,542673664,1861.788983,1861.887606,1861.881446,0.08726,1861.800346,0,0,1280
0,sequential,all_delta,8,0,published,9461367,1,0,0,1889.203678,1972.430448,1972.431184,1972.431668,0,25.876267,44.498197,12.818235,397377414,0,0,441000192,0,0,0,508312320,0,1972.431668,1972.431668,83.22799,1889.203678,0,0,1280
