rotation,mode,policy,batch,epoch,status,rows,runs,merges,deferred,begin_ms,ready_ms,published_ms,writer_done_ms,host_build_ms,metadata_ms,staging_ms,h2d_ms,uploaded_bytes,merge_host_rw_bytes,shared_bytes,current_only_bytes,retired_only_bytes,reader_only_at_publish_bytes,unreferenced_at_publish_bytes,live_at_publish_bytes,last_reader_device_done_ms,old_epoch_owner_released_ms,exclusive_actual_reclaim_ms,lifecycle_ms,arrival_ms,maintenance_queue_ms,other_held_at_publish_bytes,cap_mib
0,sequential,size_tiered,1,5,published,10274223,4,0,0,1553.690378,1557.695918,1557.698408,1557.69933,0,0.0119539999998,0.0206109999999,0.0454410000002,177660,0,0,475140352,0,0,0,542452480,1553.669177,1557.707345,1557.69933,4.016967,1553.690378,0,0,1280
0,sequential,size_tiered,1,6,published,10279473,4,1,0,1584.198832,1592.418218,1592.420161,1592.420997,0.250327,0.0430889999998,0.0662179999999,0.111271,618660,796320,0,475361024,177664,0,177664,542850816,1584.181271,1592.430581,1592.430293,8.231749,1584.198832,0,177664,1280
0,sequential,compact,1,0,published,9461367,1,0,0,1620.642118,1709.07211,1709.073495,1709.074282,0,33.347461,41.541244,9.173966,397377414,0,0,441000192,0,0,0,508312320,0,1709.074282,1709.074282,88.432164,1620.642118,0,0,1280
0,sequential,compact,1,1,published_merge_deferred,9466817,2,0,1,1732.309216,1736.505881,1736.507184,1736.507773,0,0.0154620000001,0.022033,0.0550780000001,228900,0,0,441229312,0,0,0,508541440,1732.292269,1736.51686,1736.507773,4.207644,1732.309216,0,0,1280
0,sequential,compact,1,2,published_merge_deferred,10232664,3,0,1,1759.847305,1770.913138,1770.914983,1770.915927,0,2.684753,3.339603,0.793635,32165574,0,0,473394944,0,0,0,540707072,1759.831682,1770.923888,1770.915927,11.076583,1759.847305,0,0,1280
0,sequential,compact,1,3,published_merge_deferred,10234444,4,0,1,1797.242652,1801.346462,1801.349001,1801.349923,0,0.00494599999979,0.00636499999973,0.041252,74760,0,0,473469952,0,0,0,540782080,1797.228088,1801.358341,1801.349923,4.115689,1797.242652,0,0,1280
0,sequential,compact,1,4,published_merge_deferred,10269993,5,0,1,1827.754021,1832.100612,1832.103535,1832.104467,0,0.117825,0.132304,0.106675,1493058,0,0,474963200,0,0,0,542275328,1827.738055,1832.112733,1832.104467,4.358712,1827.754021,0,0,1280
0,sequential,compact,1,5,published_merge_deferred,10274223,6,0,1,1858.517918,1862.564949,1862.56765,1862.568639,0,0.0122160000001,0.0178849999998,0.047748,177660,0,0,475140864,0,0,0,542452992,1858.503071,1862.576755,1862.568639,4.058837,1858.517918,0,0,1280
0,sequential,compact,1,6,published_merge_deferred,10279473,7,0,1,1889.219357,1893.294539,1893.297411,1893.298485,0,0.014778,0.0222789999998,0.0498599999999,220500,0,0,475361536,0,0,0,542673664,1889.203554,1893.306282,1893.298485,4.086925,1889.219357,0,0,1280
0,sequential,all_delta,8,0,published,9461367,1,0,0,1920.199968,2004.96233,2004.963372,2004.963916,0,33.392017,38.638561,8.88615,397377414,0,0,441000192,0,0,0,508312320,0,2004.963916,2004.963916,84.763948,1920.199968,0,0,1280
0,sequential,all_delta,8,1,published,9466817,2,0,0,2024.65945,2027.982926,2027.984106,2027.984588,0,0.014308,0.0306090000001,0.0519289999997,228900,0,0,441229312,0,0,0,508541440,2024.621748,2027.991534,2027.984588,3.332084,2024.65945,0,0,1280
0,sequential,all_delta,8,2,published,10232664,3,0,0,2044.255623,2053.029481,2053.031099,2053.0316,0,2.089879,2.76713,0.72846,32165574,0,0,473394944,0,0,0,540707072,2044.238539,2053.03791,2053.0316,8.782287,2044.255623,0,0,1280
0,sequential,all_delta,8,3,published,10234444,4,0,0,2072.140585,2075.320029,2075.321665,2075.322148,0,0.00390800000014,0.024163,0.0391660000005,74760,0,0,473469952,0,0,0,540782080,2072.121638,2075.333501,2075.322148,3.192916,2072.140585,0,0,1280
0,sequential,all_delta,8,4,published,10269993,5,0,0,2094.567121,2098.01727,2098.019416,2098.020255,0,0.104701,0.11049,0.0884850000002,1493058,0,0,474963200,0,0,0,542275328,2094.549684,2098.026893,2098.020255,3.459772,2094.567121,0,0,1280
